,0.01
zone_022_temp,2.5852782764811493
zone_044_temp,10.15273754856941
zone_058_temp,13.035164835164835
zone_028_temp,13.927253103076092
zone_019_temp,19.775342465753425
zone_024_temp,25.720308166409865
zone_033_temp,26.666666666666668
zone_040_temp,27.097435897435897
zone_041_temp,28.423384615384617
zone_068_temp,29.583673469387758
zone_043_temp,31.30434782608696
zone_062_temp,36.0
zone_052_temp,38.918918918918926
zone_054_temp,38.918918918918926
zone_053_temp,42.64812834224599
zone_051_temp,44.768181818181816
zone_045_temp,45.45
zone_037_temp,46.45161290322581
zone_055_temp,49.65517241379311
zone_070_temp,49.65517241379311
zone_069_temp,49.65517241379311
zone_061_temp,50.09655172413794
zone_071_temp,55.38461538461539
zone_027_temp,55.38461538461539
zone_057_temp,57.6
zone_023_temp,60.0
zone_017_temp,62.60869565217392
zone_047_temp,72.0
zone_039_temp,79.74736842105263
zone_072_temp,80.0
zone_026_temp,83.05882352941177
zone_067_temp,86.4
zone_016_temp,86.87647058823529
zone_065_temp,90.0
zone_056_temp,96.00000000000001
zone_049_temp,97.92000000000002
zone_042_temp,101.4857142857143
zone_064_temp,102.85714285714286
zone_018_temp,102.85714285714286
zone_063_temp,120.0
zone_046_temp,130.9090909090909
zone_035_temp,130.9090909090909
zone_038_temp,144.0
zone_066_temp,144.0
zone_025_temp,144.0
zone_021_temp,144.0
zone_036_temp,180.0
zone_059_temp,240.0
zone_032_temp,240.0
zone_030_temp,240.0
